"NAME";"FAMNAME";"SCIENTNAME";"CODE";"GMIN";"GMAX";"KTMP";"TMIN";"TOPMN";"TOPMX";"TMAX";"RMIN";"ROPMN";"ROPMX";"RMAX";"LIG";"LIGR";"PP";"PPMIN";"PPMAX";"TEXT";"TEXTR";"DEP";"DEPR";"DRA";"DRAR";"PHMIN";"PHOPMN";"PHOPMX";"PHMAX";"SAL";"SALR";"FER";"FERR";"LIMITS"
"Spinach beet";"Chenopodiaceae";"Beta vulgaris L. v flavesc.";45;160;240;-3;4;15;25;35;500;600;800;1000;"1 4";"1 4";"L";14.00;14.00;"M H";"W";"M";"S";"W";"W";"5.5";"6.0";"7.0";"7.5";"L";"M";"H";"M";
"Carrot";"Umbelliferae";"Daucus carota L.";62;40;150;-1;3;15;24;30;400;600;1200;4000;"2 3";"1 3";"L";14.00;14.00;"M O";"W";"M";"M";"W";"W";"4.2";"5.8";"6.8";"8.7";"L";"L";"M";"M";
"English walnut *";"Juglandaceae";"Juglans regia L.";78;150;180;0;7;15;30;40;400;800;1700;2200;"1";"1 3";"L";14.00;14.00;"M";"W";"D";"D";"W";"W";"4.5";"5.5";"6.5";"8.3";"L";"L";"H";"M";
"European beech";"Fagaceae";"Fagus sylvatica L.";84;150;210;-28;6;10;20;35;300;500;1000;1500;"1";"1 4";"L";14.00;14.00;"M H";"W";"D";"D";"W";"W";"4.0";"5.0";"7.0";"8.2";"L";"L";"H";"M";
"China Jute *";"Malvaceae";"Abutilon theopharasti Medic";85;75;140;0;10;14;25;30;500;650;2000;3000;"1 2";"1 3";"L";14.00;14.00;"M";"W";"D";"M";"W";"I W";"4.9";"5.5";"6.5";"8.2";"l";"l";"M";"L";"W"
"Orchard grass";"Gramineae";"Dactylis glomerata L.";94;80;180;-12;5;12;26;31;300;500;1000;1700;"1 3";"1 4";"L";14.00;14.00;"M H";"W";"S";"S";"W";"W E";"4.5";"6.0";"6.5";"7.5";"L";"M";"H";"M";
"White Lupine";"Leguminosae";"Lupinus albus L.";109;90;180;-8;6;18;24;32;360;400;1000;1800;"1 2";"1 3";"L";14.00;14.00;"L M";"W";"M";"M";"W";"W";"4.8";"5.5";"6.4";"8.2";"L";"M";"H";"M";"T"
"Blue lupine";"Leguminosae";"Lupinus angustifolius L.";110;100;180;-6;4;12;18;26;350;400;1000;1700;"1 3";"1 3";"L";14.00;14.00;"L M";"W";"D";"M";"W";"W";"4.5";"5.5";"6.5";"7.5";"L";"L";"H";"M";"T"
"Yellow Lupine";"Leguminosae";"Lupinus luteus L.";111;100;180;-3;6;18;24;30;350;450;1000;2100;"1 2";"1 3";"L";14.00;14.00;"L";"L M";"M";"S";"W";"I W";"4.5";"5.5";"7.0";"8.0";"L";"L";"L M";"L M";
"Chestnut, European *";"Fagaceae";"Castanea sativa Mill.";122;150;210;0;7;15;25;30;500;900;1300;1600;"1";"1 3";"L";14.00;14.00;"L M";"W";"D";"D";"W";"W E";"4.0";"5.0";"6.0";"7.0";"L";"L";"M";"M";
"Chinquapin *";"Fagaceae";"Castanea pumila";123;150;210;0;12;15;25;30;900;1100;1300;1800;"1";"1 3";"L";14.00;14.00;"L M";"W";"D";"M";"W";"W E";"5.0";"5.5";"6.0";"7.0";"L";"L";"M";"M";
"Chestnut, Chinese *";"Fagaceae";"Castanea mollisima L.";124;150;210;0;10;15;26;30;800;1000;1400;1600;"1";"1 2";"L";14.00;14.00;"L M";"W";"D";"D";"W";"W E";"5.0";"5.5";"6.5";"7.5";"L";"L";"M";"M";
"Chestnut, American *";"Fagaceae";"Castanea dentata Borkh.";125;150;210;0;10;15;19;30;500;1000;1100;1500;"1";"1 3";"L";14.00;14.00;"L M";"W";"D";"D";"W";"W";"5.5";"6.0";"7.0";"7.5";"L";"L";"M";"M";
"Chestnut, Japanese *";"Fagaceae";"Castanea crenata Si. & Zu.";126;150;180;0;12;17;28;30;900;1100;1500;2300;"1";"1 2";"L";14.00;14.00;"L M";"W";"D";"D";"W";"W";"5.0";"5.5";"6.0";"7.0";"L";"L";"M";"M";
"Betel palm";"Arecaceae";"Areca catechu L.";128;240;365;0;7;18;33;39;1000;1500;3000;5000;"3 4";"1 4";"L";14.00;14.00;"M H";"W";"M";"M";"W";"W";"4.5";"5.5";"6.0";"6.8";"L";"L";"H";"M";
"Common bentgrass";"Gramineae";"Agrostis gigantea Roth.";130;120;180;-35;2;12;21;32;300;500;900;1200;"1 2";"1 3";"L";14.00;14.00;"W";"W";"M";"S";"I W";"I W";"4.0";"5.0";"7.0";"8.3";"L";"L";"L";"L";"W"
"Reed canarygrass";"Gramineae";"Phalaris arundinacea L.";131;120;240;-2;2;17;25;38;300;700;1500;2600;"1 2";"1 3";"L";14.00;14.00;"W";"W";"M";"S";"I W";"I E";"4.5";"6.0";"7.0";"8.0";"L";"L";"H";"M";
"Brome grass";"Gramineae";"Bromus inermis Leyss.";132;120;180;-35;2;12;25;45;200;600;1000;1700;"1 3";"1 4";"L";14.00;14.00;"L M";"W";"M";"S";"W";"I E";"4.0";"5.5";"7.0";"8.2";"L";"M";"H";"L";
"Red Fescue";"Gramineae";"Festuca rubra L. v. rubra";134;120;180;-10;4;12;18;22;300;500;1000;1700;"1 3";"1 4";"L";14.00;14.00;"W";"W";"M";"S";"W";"I E";"4.5";"5.5";"6.5";"8.3";"L";"M";"M";"L";
"Zigzag clover *";"Leguminosae";"Trifolium medium L.";135;120;240;-10;4;8;16;20;500;600;800;1000;"1 3";"1 4";"L";14.00;14.00;"L M";"W";"M";"S";"I E";"I E";"5.5";"6.0";"7.0";"7.5";"l";"l";"H";"M";
