Param,Unit,Ishikari,Sasanishiki,Koshihikari,Nipponbare,Mizuho,IR36
GV,days,51.03,51.0,51.3,59.6,59.9,65.6
ALF,-,0.29,0.51,0.365,0.361,0.408,0.421
TH,C,17.6,17.1,17.8,18.47,17.9,17.3
BDL,-,0.66,0.53,0.566,0.558,0.607,0.479
LC,hours,23.55,15.96,16.0,16.2,15.66,16.8
DVIA,-,1.0,0.25,0.23,0.39,0.0,0.04
TCR,C,6.4,6.4,6.4,6.4,6.4,6.4
GR,days,30.7,30.7,30.7,30.7,30.7,30.7
KCR,-,0.071,0.071,0.071,0.071,0.071,0.071
EXTC,-,0.6,0.6,0.6,0.6,0.6,0.57
COVES,G/MJ,1.95,1.95,1.95,1.95,1.95,2.0
HIMX,-,0.42,0.40,0.38,0.36,0.34,0.37
CTR,C,10.0,11.0,11.0,11.0,11.0,13.0
A,/day,0.255,0.247,0.247,0.247,0.247,0.247
KF,-,0.07,0.07,0.07,0.07,0.07,0.07
ETA,-,0.723,0.723,0.723,0.723,0.723,0.723
FAS,-,5.5,5.5,5.5,5.5,5.5,5.5
TCF,C,10.2,11.5,11.5,11.5,11.5,11.5
BETA,-,0.5,0.5,0.5,0.5,0.5,0.5
THOT,C,22.0,22.0,22.0,22.0,22.0,22.0
STO,%,4.6,4.6,4.6,4.6,4.6,4.6
BST,-,0.054,0.054,0.054,0.054,0.054,0.054
PST,-,1.56,1.56,1.56,1.56,1.56,1.56
